letter,name,url
L,LÉKUÉ,/merker/l%C3%A9ku%C3%A9
L,LIBERON,/merker/liberon
L,LILLEBORG,/merker/lilleborg
L,LION SABATIER,/merker/lion+sabatier
L,LION SABATIER INTERNATIONA,/merker/lion+sabatier+internationa
L,LOCTITE,/merker/loctite
L,LORANN OILS,/merker/lorann+oils
L,LORANNOILS,/merker/lorannoils
L,LORD,/merker/lord
L,LUIGI BORMIOLI,/merker/luigi+bormioli
L,LUMIX,/merker/lumix
L,LYKKETEGNING,/merker/lykketegning
L,LYNGBY GLAS,/merker/lyngby+glas
L,LYNGBY PORCELÆN,/merker/lyngby+porcel%C3%A6n
M,MAC,/merker/mac
M,MARCH,/merker/march
M,Maria,/merker/maria
M,MARIE SOHL,/merker/marie+sohl
M,MARKSLOJD,/merker/markslojd
M,MASTON,/merker/maston
M,MAUVIEL 1830,/merker/mauviel+1830
M,MAX SMEKKER,/merker/max+smekker
M,ME-FA,/merker/me-fa
M,MEDUSA-COPENHAGEN,/merker/medusa-copenhagen
M,MENALUX,/merker/menalux
M,MEPAL,/merker/mepal
M,METEOR,/merker/meteor
M,MICROPLANE,/merker/microplane
M,MILJØ NORGE,/merker/milj%C3%B8+norge
M,MILL,/merker/mill
M,MOCCAMASTER,/merker/moccamaster
M,MODERN HOUSE,/merker/modern+house
M,MOOMIN-ARABIA,/merker/moomin-arabia
M,MOOMIN-FISKARS,/merker/moomin-fiskars
M,MORSØ,/merker/mors%C3%B8
M,MOSQUITO MAGNET,/merker/mosquito+magnet
M,mysoda,/merker/mysoda
N,NELSON GARDEN,/merker/nelson+garden
N,NESCAFÉ DOLCE GUSTO,/merker/nescaf%C3%A9+dolce+gusto
N,NEUDORFF,/merker/neudorff
N,NIMLY,/merker/nimly
N,NOR-TEC,/merker/nor-tec
N,NORATEL,/merker/noratel
N,NORDIC BALANCE,/merker/nordic+balance
N,NORDIC GRIP,/merker/nordic+grip
N,NORDIC SENSE,/merker/nordic+sense
N,NORDISKA PLAST,/merker/nordiska+plast
N,NORGESGLASSET,/merker/norgesglasset
N,NORSTEP,/merker/norstep
N,NOVAPLAN,/merker/novaplan
N,NOVIA,/merker/novia
O,O'KEEFFE'S,/merker/o%27keeffe%27s
O,OBH NORDICA,/merker/obh+nordica
O,OLFA,/merker/olfa
O,ORAL B,/merker/oral+b
O,ORTHEX,/merker/orthex
O,OSLO FLAGGFABRIKK,/merker/oslo+flaggfabrikk
O,OSLO HÅNDVERKDESTILLERI,/merker/oslo+h%C3%A5ndverkdestilleri
O,OSMO,/merker/osmo
O,OSRAM,/merker/osram
O,OWATROL,/merker/owatrol
O,OXO,/merker/oxo
P,PÅ STELL,/merker/p%C3%A5+stell
P,PARTYDECO,/merker/partydeco
P,PATISSE,/merker/patisse
P,PATTEX,/merker/pattex
P,PELTOR,/merker/peltor
P,PEUGEOT,/merker/peugeot
P,PILLIVUYT,/merker/pillivuyt
P,PILLIVUYT GOURMET,/merker/pillivuyt+gourmet
P,PLAST 1,/merker/plast+1
P,PLUMBO,/merker/plumbo
P,PME,/merker/pme
P,PN-BESLAG,/merker/pn-beslag
P,POLY-PRODUKTER,/merker/poly-produkter
P,PORSGRUNDS PORSELÆNSFABRIK,/merker/porsgrunds+porsel%C3%A6nsfabrik
P,POWERIZED,/merker/powerized
P,PREPARA,/merker/prepara
P,PRINCESS,/merker/princess
P,PRITT,/merker/pritt
P,PROBUILDER,/merker/probuilder
P,PROCOS,/merker/procos
P,PULLTEX,/merker/pulltex
P,PUSHPAN,/merker/pushpan
P,PYREX,/merker/pyrex
Q,QUICK,/merker/quick
Q,QUICKFIRE,/merker/quickfire
R,RADARCAN,/merker/radarcan
R,RAPID,/merker/rapid
R,RAVENHEAD,/merker/ravenhead
R,RAWLINK,/merker/rawlink
R,RE-MA,/merker/re-ma
R,REINOLDMAX,/merker/reinoldmax
R,REISENTHEL,/merker/reisenthel
R,RELEKTA,/merker/relekta
R,RELEKTA101,/merker/relekta101
R,ReUse,/merker/reuse
R,REVLON,/merker/revlon
R,RIEDEL,/merker/riedel
R,RIG-TIG,/merker/rig-tig
R,RIVSALT,/merker/rivsalt
R,ROLSON,/merker/rolson
R,ROOT7,/merker/root7
R,RÖRSTRAND,/merker/r%C3%B6rstrand
R,ROSENDAHL,/merker/rosendahl
R,RÖSLE,/merker/r%C3%B6sle
R,ROSTI,/merker/rosti
R,RUBBERSTYLE,/merker/rubberstyle
S,SCALA,/merker/scala
S,SCANDINAVIAN HOME,/merker/scandinavian+home
S,SCANDINAVIAN LIVING,/merker/scandinavian+living
S,SCANOX,/merker/scanox
S,SCANPAN,/merker/scanpan
S,SCANWOOD,/merker/scanwood
S,SCOTCH,/merker/scotch
S,SEALSKIN,/merker/sealskin
S,SEEME,/merker/seeme
S,SELACLEAN,/merker/selaclean
S,SEVERIN,/merker/severin
S,SIKA,/merker/sika
S,SILIKOMART,/merker/silikomart
S,SIMPLEHUMAN,/merker/simplehuman
S,SINI,/merker/sini
S,SIOOX,/merker/sioox
S,SISTEMA,/merker/sistema
S,skål,/merker/sk%C3%A5l
S,SMARTMICROFIBER,/merker/smartmicrofiber
S,SMARTSEKK,/merker/smartsekk
S,SMARTSTORE,/merker/smartstore
S,SMED,/merker/smed
S,SMEDBO,/merker/smedbo
S,SÖDAHL,/merker/s%C3%B6dahl
S,SODASTREAM,/merker/sodastream
S,SOEHNLE,/merker/soehnle
S,SOTEKS,/merker/soteks
S,SOUDAL,/merker/soudal
S,SPACE,/merker/space
S,SPIEGELAU,/merker/spiegelau
S,SPONGO,/merker/spongo
